,season,md,home_team,away_team,home_goals,away_goals,year
0,1963/1964,1,1. FC Saarbrücken,1. FC Cologne,0,2,1964
1,1963/1964,1,TSV 1860 München,Eintracht Braunschweig,1,1,1964
2,1963/1964,1,Eintracht Frankfurt,1. FC Kaiserslautern,1,1,1964
3,1963/1964,1,FC Schalke 04,VfB Stuttgart,2,0,1964
4,1963/1964,1,SC Preußen Münster,Hamburger SV,1,1,1964
5,1963/1964,1,Karlsruher SC,Meidericher SV,1,4,1964
6,1963/1964,1,SV Werder Bremen,Borussia Dortmund,3,2,1964
7,1963/1964,1,Hertha BSC,1. FC Nürnberg,1,1,1964
8,1963/1964,2,Eintracht Braunschweig,SC Preußen Münster,1,0,1964
9,1963/1964,2,Meidericher SV,Eintracht Frankfurt,3,1,1964
10,1963/1964,2,VfB Stuttgart,Hertha BSC,2,0,1964
11,1963/1964,2,1. FC Kaiserslautern,FC Schalke 04,2,3,1964
12,1963/1964,2,1. FC Cologne,Karlsruher SC,4,0,1964
13,1963/1964,2,1. FC Nürnberg,SV Werder Bremen,3,0,1964
14,1963/1964,2,Hamburger SV,1. FC Saarbrücken,4,2,1964
15,1963/1964,2,Borussia Dortmund,TSV 1860 München,3,3,1964
16,1963/1964,3,Eintracht Frankfurt,1. FC Nürnberg,2,3,1964
17,1963/1964,3,Karlsruher SC,Hamburger SV,0,4,1964
18,1963/1964,3,FC Schalke 04,Borussia Dortmund,3,1,1964
19,1963/1964,3,SV Werder Bremen,VfB Stuttgart,2,2,1964
20,1963/1964,3,Hertha BSC,1. FC Kaiserslautern,2,2,1964
21,1963/1964,3,SC Preußen Münster,Meidericher SV,4,2,1964
22,1963/1964,3,1. FC Saarbrücken,Eintracht Braunschweig,2,2,1964
23,1963/1964,3,TSV 1860 München,1. FC Cologne,1,3,1964
24,1963/1964,4,Eintracht Braunschweig,Karlsruher SC,2,0,1964
25,1963/1964,4,1. FC Nürnberg,SC Preußen Münster,2,2,1964
